X,Y,Z
-10,0,146.4560084
-10,10,146.602611
-10,20,146.602611
-10,40,148.315975
-10,50,148.315975
-10,60,148.315975
-10,80,147.880867
-10,90,147.880867
-10,100,147.168211
0,0,144.5531072
0,10,144.5531072
0,20,146.2125919
0,40,150.1040852
0,50,143.2749122
0,60,147.6053105
0,80,144.0834853
0,90,144.9986351
0,100,144.9986351
10,0,123.040872
10,10,123.040872
10,20,117.0202721
10,40,117.0202721
10,50,104.9790723
10,60,104.9790723
10,80,126.5626972
10,90,124.9790723
10,100,124.9790723
20,0,124.9790723
20,10,124.9790723
20,20,104.9790723
20,40,124.9790723
20,50,123.040872
20,60,128.5008975
20,80,130.0845224
20,90,135.0820719
20,100,135.0820719
30,0,124.9790723
30,10,124.9790723
30,20,117.0202721
30,40,124.9790723
30,50,126.5626972
30,60,130.5541443
30,80,133.9222329
30,90,135.6086507
30,100,135.6086507
40,0,118.9584724
40,10,118.9584724
40,20,124.9790723
40,40,127.901633
40,50,124.9790723
40,60,120.5420973
40,80,130.0845224
40,90,131.8275259
40,100,131.8275259
50,0,104.9790723
50,10,104.9790723
50,20,126.5626972
50,40,127.901633
50,50,129.5880507
50,60,118.9584724
50,80,118.9584724
50,90,129.5880507
50,100,129.5880507
60,0,104.9790723
60,10,104.9790723
60,20,125.806926
60,40,130.9996722
60,50,130.5541443
60,60,124.0639225
60,80,104.9790723
60,90,128.5008975
60,100,128.5008975
70,0,121.8810331
70,10,121.8810331
70,20,130.0845224
70,40,127.2579394
70,50,128.5008975
70,60,127.2579394
70,80,121.8810331
70,90,124.9790723
70,100,124.9790723
80,0,120.5420973
80,10,120.5420973
80,20,129.5880507
80,40,124.9790723
80,50,129.061472
80,60,130.0845224
80,80,121.8810331
80,90,126.5626972
80,100,126.5626972
