X,Y,Z
-10,0,155.7218
-10,10,155.7218
-10,20,158.9134346
-10,40,158.9134346
-10,50,157.9065379
-10,60,157.9065379
-10,80,151.0839312
-10,90,151.0839312
-10,100,151.0839312
0,0,153.3655596
0,10,153.3655596
0,20,153.7555238
0,40,156.7886654
0,50,156.0864708
0,60,153.7555238
0,80,147.6747179
0,90,148.4062037
0,100,148.4062037
10,0,129.1491598
10,10,129.1491598
10,20,132.3013168
10,40,130.6418321
10,50,124.6212322
10,60,121.3250272
10,80,130.1722102
10,90,132.6709849
10,100,132.6709849
20,0,125.4905461
20,10,125.4905461
20,20,132.3013168
20,40,131.9152137
20,50,129.6757385
20,60,133.3662271
20,80,127.9893208
20,90,135.948121
20,100,135.948121
30,0,125.0667601
30,10,125.0667601
30,20,129.1491598
30,40,132.6709849
30,50,129.6757385
30,60,130.1722102
30,80,134.0099207
30,90,136.662432
30,100,136.662432
40,0,116.662432
40,10,116.662432
40,20,127.0049604
40,40,133.0255603
40,50,133.3662271
40,60,131.9152137
40,80,137.1079599
40,90,137.1079599
40,100,137.1079599
50,0,126.650385
50,10,126.650385
50,20,131.511146
50,40,133.0255603
50,50,131.511146
50,60,133.3662271
50,80,135.948121
50,90,137.9358136
50,100,137.9358136
60,0,129.6757385
60,10,129.6757385
60,20,131.08736
60,40,132.6709849
60,50,134.6091852
60,60,135.4370389
60,80,136.1928101
60,90,135.6963384
60,100,135.6963384
70,0,135.1697597
70,10,135.1697597
70,20,135.948121
70,40,136.1928101
70,50,135.4370389
70,60,134.0099207
70,80,127.9893208
70,90,129.6757385
70,100,129.6757385
80,0,129.6757385
80,10,129.6757385
80,20,118.6915849
80,40,127.3456272
80,50,134.3147201
80,60,135.4370389
80,80,135.1697597
80,90,134.3147201
80,100,134.3147201
