X,Y,Z
-10,0,144.3890109
-10,10,144.5335444
-10,20,144.5335444
-10,40,147.2579394
-10,50,147.2579394
-10,60,147.2579394
-10,80,144.5335444
-10,90,144.5335444
-10,100,144.1002328
0,0,147.7529158
0,10,147.7529158
0,20,149.4448076
0,40,158.6910398
0,50,156.2808098
0,60,152.7554628
0,80,154.9806949
0,90,152.385425
0,100,152.385425
10,0,129.5880507
10,10,129.5880507
10,20,132.5832971
10,40,125.806926
10,50,130.9996722
10,60,127.3905509
10,80,125.806926
10,90,115.8604332
10,100,115.8604332
20,0,129.5880507
20,10,129.5880507
20,20,133.2785393
20,40,116.1051223
20,50,127.2579394
20,60,125.806926
20,80,134.5214974
20,90,121.2373394
20,100,121.2373394
30,0,124.0639225
30,10,124.0639225
30,20,127.2579394
30,40,123.040872
30,50,126.5626972
30,60,130.0845224
30,80,133.9222329
30,90,118.9584724
30,100,118.9584724
40,0,118.6038971
40,10,118.6038971
40,20,121.8810331
40,40,133.9222329
40,50,124.9790723
40,60,127.901633
40,80,133.2785393
40,90,130.0845224
40,100,130.0845224
50,0,123.040872
50,10,123.040872
50,20,124.5335444
50,40,127.901633
50,50,128.5008975
50,60,127.901633
50,80,125.4028583
50,90,131.8275259
50,100,131.8275259
60,0,126.5626972
60,10,126.5626972
60,20,118.6038971
60,40,127.901633
60,50,133.9222329
60,60,133.2785393
60,80,125.806926
60,90,129.061472
60,100,129.061472
70,0,124.0639225
70,10,124.0639225
70,20,129.5880507
70,40,130.0845224
70,50,133.6063476
70,60,134.5214974
70,80,132.9378725
70,90,122.4802976
70,100,122.4802976
80,0,122.4802976
80,10,122.4802976
80,20,126.7771745
80,40,133.2785393
80,50,132.5832971
80,60,138.2342289
80,80,132.5832971
80,90,122.4802976
80,100,122.4802976
